"","list_name","name","label_english","label_french","filter_admin1","filter_admin2","filter_admin3","filter_admin4"
"1","l_survey_modality","remote","Remote","A distance",NA,NA,NA,NA
"2","l_survey_modality","in_person","In person","En personne",NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA
"4","l_enum_id","id_1","id_1","id_1",NA,NA,NA,NA
"5","l_enum_id","id_2","id_2","id_2",NA,NA,NA,NA
"6","l_enum_id","id_3","id_3","id_3",NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA
"8","l_gender","male","Male / man","Masculin / homme",NA,NA,NA,NA
"9","l_gender","female","Female / woman","Féminin / femme",NA,NA,NA,NA
"10","l_gender","other","Other","Autre",NA,NA,NA,NA
"11","l_gender","pnta","Prefer not to answer","Préfère ne pas répondre",NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA
"13","l_admin1","PCODE1","To be updated by country","À mettre à jour par le pays",NA,NA,NA,NA
"14","l_admin1","PCODE2","To be updated by country","À mettre à jour par le pays",NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA
"16","l_admin2","PCODE11","To be updated by country","À mettre à jour par le pays","PCODE1",NA,NA,NA
"17","l_admin2","PCODE12","To be updated by country","À mettre à jour par le pays","PCODE1",NA,NA,NA
"18","l_admin2","PCODE21","To be updated by country","À mettre à jour par le pays","PCODE2",NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA
"20","l_admin3","PCODE111","To be updated by country","À mettre à jour par le pays",NA,"PCODE11",NA,NA
"21","l_admin3","PCODE121","To be updated by country","À mettre à jour par le pays",NA,"PCODE12",NA,NA
"22","l_admin3","PCODE211","To be updated by country","À mettre à jour par le pays",NA,"PCODE21",NA,NA
"23","l_admin3","PCODE212","To be updated by country","À mettre à jour par le pays",NA,"PCODE21",NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA
"25","l_admin4","PCODE1111","To be updated by country","À mettre à jour par le pays",NA,NA,"PCODE111",NA
"26","l_admin4","PCODE1211","To be updated by country","À mettre à jour par le pays",NA,NA,"PCODE121",NA
"27","l_admin4","PCODE2111","To be updated by country","À mettre à jour par le pays",NA,NA,"PCODE211",NA
"28","l_admin4","PCODE2121","To be updated by country","À mettre à jour par le pays",NA,NA,"PCODE212",NA
"29",NA,NA,NA,NA,NA,NA,NA,NA
"30","l_cluster_id","cluster_1","To be updated by country","À mettre à jour par le pays",NA,NA,"PCODE111",NA
"31","l_cluster_id","cluster_2","To be updated by country","À mettre à jour par le pays",NA,NA,"PCODE121",NA
"32","l_cluster_id","cluster_3","To be updated by country","À mettre à jour par le pays",NA,NA,"PCODE211",NA
"33","l_cluster_id","cluster_4","To be updated by country","À mettre à jour par le pays",NA,NA,"PCODE212",NA
"34",NA,NA,NA,NA,NA,NA,NA,NA
"35","l_yn","yes","Yes","Oui",NA,NA,NA,NA
"36","l_yn","no","No","Non",NA,NA,NA,NA
"37",NA,NA,NA,NA,NA,NA,NA,NA
"38","l_yn_dnk_pnta","yes","Yes","Oui",NA,NA,NA,NA
"39","l_yn_dnk_pnta","no","No","Non",NA,NA,NA,NA
"40","l_yn_dnk_pnta","dnk","Don't know","Ne sait pas",NA,NA,NA,NA
"41","l_yn_dnk_pnta","pnta","Prefer not to answer","Préfère ne pas répondre",NA,NA,NA,NA
"42",NA,NA,NA,NA,NA,NA,NA,NA
"43","l_setting","rural","Rural","Rurale",NA,NA,NA,NA
"44","l_setting","urban","Urban or Peri-Urban","Urbain ou périurbain",NA,NA,NA,NA
"45","l_setting","camp","Formal or non-formal camp or site setting","Camp ou site formel ou non formel",NA,NA,NA,NA
"46",NA,NA,NA,NA,NA,NA,NA,NA
"47","l_ind_age_under1","0","0","0",NA,NA,NA,NA
"48","l_ind_age_under1","1","1","1",NA,NA,NA,NA
"49","l_ind_age_under1","2","2","2",NA,NA,NA,NA
"50","l_ind_age_under1","3","3","3",NA,NA,NA,NA
"51","l_ind_age_under1","4","4","4",NA,NA,NA,NA
"52","l_ind_age_under1","5","5","5",NA,NA,NA,NA
"53","l_ind_age_under1","6","6","6",NA,NA,NA,NA
"54","l_ind_age_under1","7","7","7",NA,NA,NA,NA
"55","l_ind_age_under1","8","8","8",NA,NA,NA,NA
"56","l_ind_age_under1","9","9","9",NA,NA,NA,NA
"57","l_ind_age_under1","10","10","10",NA,NA,NA,NA
"58","l_ind_age_under1","11","11","11",NA,NA,NA,NA
"59","l_ind_age_under1","dnk","Don't know","Ne sait pas",NA,NA,NA,NA
"60",NA,NA,NA,NA,NA,NA,NA,NA
"61","l_edu_level_grade","level1_grade1","To be updated by country","À mettre à jour par le pays",NA,NA,NA,NA
"62","l_edu_level_grade","level1_grade2","To be updated by country","À mettre à jour par le pays",NA,NA,NA,NA
"63","l_edu_level_grade","level2_grade_1","To be updated by country","À mettre à jour par le pays",NA,NA,NA,NA
"64","l_edu_level_grade","level2_grade_2","To be updated by country","À mettre à jour par le pays",NA,NA,NA,NA
"65","l_edu_level_grade","level2_grade_3","To be updated by country","À mettre à jour par le pays",NA,NA,NA,NA
"66",NA,NA,NA,NA,NA,NA,NA,NA
"67","l_edu_barrier","costs","Cannot afford the direct costs of education (e.g. tuition, supplies, transportation)","Impossibilité de payer les coûts directs de l'éducation (par exemple, les frais de scolarité, les fournitures, le transport)",NA,NA,NA,NA
