"","priority","level","theme","module","indicator","index","type","name","label_english","label_french","hint_english","hint_french","calculation","required","relevant","constraint","default","repeat_count","constraint_message_english","constraint_message_french","appearance","choice_filter","parameters","dataset","function_to_compose","r_package"
"1","1","metadata",NA,NA,NA,NA,"audit","audit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"track-changes=true",NA,NA,NA
"2","1","metadata",NA,NA,NA,NA,"start","start",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1","metadata",NA,NA,NA,NA,"end","end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1","metadata",NA,NA,NA,NA,"today","today",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1","metadata",NA,NA,NA,NA,"deviceid","deviceid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1","metadata",NA,NA,NA,NA,"calculate","instance_name",NA,NA,NA,NA,"uuid()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1","main",NA,NA,NA,NA,"begin_group","introduction","Introduction","Introduction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1","main","Introduction","Interview details","% of interviews by modality",1,"select_one l_survey_modality","survey_modality","Survey modality","Modalités de l'entretien",NA,NA,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","main","Introduction","Interview details","For data monitoring or cleaning",2,"select_one l_enum_id","enum_id","Enumerator id","ID de l'enquêteur.rice",NA,NA,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","main","Introduction","Interview details","% of interviews by gender of the enumerator",3,"select_one l_gender","enum_gender","What is the enumerator's gender?","Quel est le genre de l'enquêteur.rice ?",NA,NA,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1","main","Introduction","Interview details","% of interviews by age of the enumerator",4,"integer","enum_age","What is the enumerator's age?","Quel est l'âge de l'enquêteur.rice ?",NA,NA,NA,"TRUE",NA,". >= 18 and . <= 120",NA,NA,"Age must be between 18 and 120","L’âge doit être compris entre 18 et 120 ans",NA,NA,NA,NA,NA,NA
"12","1","main","Introduction","Geographic details","% of interviews by admin 1",5,"select_one l_admin1","admin1","Admin 1","Admin 1",NA,NA,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1","main","Introduction","Geographic details","% of interviews by admin 2",6,"select_one l_admin2","admin2","Admin 2","Admin 2",NA,NA,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,"filter_admin1=${admin1}",NA,NA,NA,NA
"14","1","main","Introduction","Geographic details","% of interviews by admin 3",7,"select_one l_admin3","admin3","Admin 3","Admin 3",NA,NA,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,"filter_admin2=${admin2}",NA,NA,NA,NA
"15","1","main","Introduction","Geographic details","% of interviews by admin 4",8,"select_one l_admin4","admin4","Admin 4","Admin 4",NA,NA,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,"filter_admin3=${admin3}",NA,NA,NA,NA
"16","1","main","Introduction","Geographic details","# of interviews by cluster id",9,"select_one l_cluster_id","cluster_id","Cluster id (often hexagon id) - 1st stage selection","Identifiant de la grappe (souvent un hexagone) - 1ère étape de la sélection",NA,NA,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,"filter_admin3=${admin3}",NA,NA,NA,NA
"17","1","main","Introduction","Consent",NA,NA,"select_one l_yn","consent","1)The enumerator’s identity or the name of his/her organization, why he/she is contacting the respondent
2)What is the purpose or scope of the assessment (why, for whom, how will the information be used, overall relevance, how the household was selected, etc.)
3)Length of interview (or possibility to schedule an appointment if current time not good)
4)Guarantee of confidentiality
5)Guarantee of reversible consent if respondent is uncomfortable or seeks to stop the interview mid-way

Do you agree to pursue the interview","1)L’identité de l’agent recenseur et le nom de son organisation, la raison pour laquelle il communique avec le répondant
2)Quel est l’objectif et la portée de l’évaluation (pourquoi, pour qui, comment l’information sera-t-elle utilisée, pertinence globale, comment le ménage a été sélectionné, etc.)
3) Durée de l’entretien (et possibilité de prendre rendez-vous si l’heure actuelle n’est pas bonne)
4) Garantie de confidentialité
5)Garantie d’un consentement réversible si le répondant est mal à l’aise ou cherche à interrompre l’entrevue à mi-chemin

Acceptez-vous de poursuivre l’entrevue ?",NA,NA,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1","main","Introduction","Consent",NA,NA,"note","consent_no_note","Thank you for your time.","Merci pour votre temps.",NA,NA,NA,NA,"selected(${consent},'no')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1","main","Introduction","Respondent or head of household","Note d'introduction",10,"note","intro_hh","For the purposes of this conversation, we are considering people in your ""household"" to be the group of people who regularly eat from the same pot or share the same shelter. The head of household is the individual who makes decisions on behalf of the entire household. This is unrelated to how many people are included on your registration card or whose name the registration card is under. Unless specified otherwise, please always try or answer on behalf of your whole household, taking into account the needs, preferences or challenges faced by all the members of your household. 

Do you have any questions?","Pour les besoins de cette conversation, nous considérons que les membres de votre ""ménage"" sont le groupe de personnes qui mangent régulièrement dans le même repas et partagent le même abri. Le chef de ménage est la personne qui prend les décisions au nom de l'ensemble du ménage. Cela n'a rien à voir avec le nombre de personnes figurant sur votre carte d'enregistrement ou avec le nom de la personne à laquelle la carte d'enregistrement se réfère. Sauf indication contraire, essayez toujours de répondre au nom de l'ensemble de votre ménage, en tenant compte des besoins, des préférences et des difficultés rencontrés par tous les membres de votre ménage.

Avez-vous des questions ?",NA,NA,NA,NA,"selected(${consent},'yes')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","main",NA,NA,NA,NA,"end_group","introduction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1","main",NA,NA,NA,NA,"begin_group","consented","Consented Form","Formulaire consenti",NA,NA,NA,NA,"selected(${consent},'yes')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1","main",NA,NA,NA,NA,"begin_group","demographics","Demographics","Démographie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1","main","Introduction","Répondant.e et chef.fe de ménage","% of interviews by respondent gender",11,"select_one l_gender","resp_gender","What is your gender?","Quel est votre genre ?",NA,NA,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","1","main","Introduction","Répondant.e et chef.fe de ménage","% of interviews by respondent age class",12,"integer","resp_age","How old are you?","Quel âge avez-vous ?",NA,NA,NA,"TRUE",NA,".>= 18 and .<= 120",NA,NA,"Age must be between 18 and 120","L’âge doit être compris entre 18 et 120 ans",NA,NA,NA,NA,NA,NA
"25","1","main","Introduction","Répondant.e et chef.fe de ménage","% of respondents who are the head of household",13,"select_one l_yn","resp_hoh_yn","Are you the head of household?","Etes vous le/la chef.fe de ménage ?",NA,NA,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","1","main","Demographics","Répondant.e et chef.fe de ménage","% of households by gender of the head of household",14,"select_one l_gender","hoh_gender","What is the head of household's gender?","Quel est le genre du ou de la chef.fe de ménage ?",NA,NA,NA,"TRUE","selected(${resp_hoh_yn},'no')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","1","main","Demographics","Répondant.e et chef.fe de ménage","% of households by age class of the head of household",15,"integer","hoh_age","How old is the head of household?","Quel est l'âge du ou de la chef.fe de ménage ?",NA,NA,NA,"TRUE","selected(${resp_hoh_yn},'no')",".>= 10 and .<= 120",NA,NA,"Age must be between 18 and 120","L’âge doit être compris entre 18 et 120 ans",NA,NA,NA,NA,NA,NA
"28","1","main","Demographics","Setting","% of households by type of setting (rural, urban, or camp)",20,"select_one l_setting","setting","Do you live in a in a rural area, urban or peri-urban, or camp like setting?

","Vivez-vous dans une zone rurale, urbaine ou périurbaine, ou dans un camp/site ?","If the interview takes place in person at a drawn gps point, please check the given answer.

Peri-urban areas denote areas immediately adjacent to a city or an urban area, which are often fragmented urbanisation of former rural areas.","Si l'entretien a lieu en personne à un point GPS déterminé, veuillez cocher la réponse donnée.

Les zones périurbaines désignent les zones immédiatement adjacentes à une ville ou à une zone urbaine, qui sont souvent des zones d'urbanisation fragmentée d'anciennes zones rurales.",NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1","main","Demographics","Demographics","% of households by household size",21,"integer","hh_size","Including yourself, how many people live in this household?","Combien de personnes, y compris vous-même, vivent dans ce ménage ?","Please do not count (prior) members of your household that do not live with you at the moment.","Ne comptez pas les membres (antérieurs) de votre ménage qui ne vivent pas avec vous en ce moment.",NA,"TRUE",NA,"if(${resp_hoh_yn}='no', . >= 2 and . <= 30, . >= 1 and . <= 30)",NA,NA,"Number of persons must be between 1 and 30. If the respondent is not the head of household, then the minimum number should be 2.","Le nombre de personnes doit être entre 1 et 30. Si le répondant n'est pas le chef de ménage, le nombre minimum doit être de 2.",NA,NA,NA,NA,NA,NA
"30","1","main","Demographics","Demographics","Introduction roster",22,"note","repeat_intro_hh","I will now ask you questions about each household member separately. Please start with yourself or then list all other household members, starting with the youngest or including the head of household if you are not.

The following questions concern household members who currently live in the household. For instance, they don't concern children, who do not currently live in the household.","Je vais maintenant vous poser des questions sur chaque membre du ménage séparément. Commencez par vous-même, puis énumérez tous les autres membres du ménage, en commençant par le plus jeune et en incluant le ou la chef.fe de ménage si vous ne l'êtes pas.

Les questions suivantes concernent les membres du ménage qui vivent actuellement dans le ménage. Par exemple, elles ne concernent pas les enfants, qui ne vivent pas actuellement dans le ménage.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","1","loop",NA,NA,NA,NA,"begin_repeat","roster",NA,NA,NA,NA,NA,NA,NA,NA,NA,"${hh_size}",NA,NA,NA,NA,NA,NA,NA,NA
"32","1","loop","Demographics","Demographics - individual","Instance id",23,"calculate","parent_instance_name",NA,NA,NA,NA,"${instance_name}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1","loop","Demographics","Demographics - individual","Individual id",24,"calculate","person_id",NA,NA,NA,NA,"uuid()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1","loop","Demographics","Demographics - individual","Individual position",25,"calculate","ind_pos",NA,NA,NA,NA,"position(..)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1","loop",NA,NA,NA,NA,"note","note_resp","Please make sure that the first person's details are those of the respondent.","Veuillez vous assurer que les détails de la première personne correspondent bien à ceux du répondant.",NA,NA,NA,NA,"${ind_pos}=1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1","loop","Demographics","Demographics - individual","% of individuals by gender",26,"select_one l_gender","ind_gender","Gender of individual:","Gender de l'individu :",NA,NA,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1","loop","Demographics","Demographics - individual","% of individuals by age",27,"integer","ind_age","Age of individual:","Age de l'individu :","If the child is under 1, input 0.","Si l'enfant a moins de 1 an, saisir 0.",NA,"TRUE",NA,". >= 0 and . < 120",NA,NA,"Age must be between 0 and 120","L’âge doit être compris entre 0 et 120 ans",NA,NA,NA,NA,NA,NA
"38","1","loop",NA,NA,NA,NA,"calculate","check_gender","Checks gender of first individual corresponds to respondent.",NA,NA,NA,"if(${ind_pos}=1 and (${resp_gender}!=${ind_gender}),1,0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1","loop",NA,NA,NA,NA,"calculate","check_age","Checks age of first individual corresponds to respondent.",NA,NA,NA,"if(${ind_pos}=1 and (${resp_age}!=${ind_age}),1,0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1","loop",NA,NA,NA,NA,"note","note_resp_gender_mismatch","The gender reported previously doesn't match the gender of the respondent; please be sure that the first person you provide details for is the respondent.","Le genre précédemment indiqué ne correspond pas au genre du répondant ; veuillez vous assurer que la première personne pour laquelle vous fournissez des détails est bien le répondant.",NA,NA,NA,"TRUE","${check_gender}=1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1","loop",NA,NA,NA,NA,"note","note_resp_age_mismatch","The age reported previously doesn't match the gender of the respondent; please be sure that the first person you provide details for is the respondent.","L'âge précédemment indiqué ne correspond pas à l'âge du répondant ; veuillez vous assurer que la première personne pour laquelle vous fournissez des détails est bien le répondant.",NA,NA,NA,"TRUE","${check_age}=1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1","loop","Demographics","Demographics - individual","% of individuals by age",28,"select_one l_ind_age_under1","ind_age_under1","Age de l'individu en mois :","Age de l'individu en mois :",NA,NA,NA,"TRUE","${ind_age} = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1","loop","Demographics","Demographics - individual","Calculate - used for constraints later only",32,"calculate","ind_age_2_11","Member aged 2 to 11",NA,NA,NA,"if(${ind_age} >= 2 and ${ind_age} <= 11, 1, 0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","1","loop","Demographics","Demographics - individual","Calculate - used for constraints later only",33,"calculate","ind_f","Female member",NA,NA,NA,"if(selected(${ind_gender}, ""female""), 1, 0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1","loop","Demographics","Demographics - individual","Calculate - used for constraints later only",34,"calculate","ind_age_5_17","Member aged 5 to 17",NA,NA,NA,"if(${ind_age} >= 5 and ${ind_age} <= 17, 1, 0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","1","loop","Demographics","Demographics - individual","Calculate - used for constraints later only",35,"calculate","ind_m_age_5_17","Boy aged 5 to 17",NA,NA,NA,"if(selected(${ind_gender}, ""male"") and ${ind_age_5_17} = 1, 1, 0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","1","loop","Demographics","Demographics - individual","Calculate - used for constraints later only",36,"calculate","ind_f_age_5_17","Girl aged 5 to 17",NA,NA,NA,"if(selected(${ind_gender}, ""female"") and ${ind_age_5_17} = 1, 1, 0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","1","loop","Demographics","Demographics - individual","Calculate - used for constraints later only",37,"calculate","ind_age_0_1","Child aged 0 to 1",NA,NA,NA,"if(${ind_age} >= 0 and ${ind_age} <= 1, 1, 0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1","loop","Demographics","Demographics - individual","Calculate - used for constraints later only",38,"calculate","ind_age_0_4","Child aged 0 to 4",NA,NA,NA,"if(${ind_age} >= 0 and ${ind_age} <= 4, 1, 0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
